Acquisition Year,Catalog No,Categories,Category,Collection,Collector,Country,Culture,Curatorial Notes,Date,Dimensions,Donor,Exhibition History,Hall,Keywords,Locale,Material,Period,Publication History,Region,Regions,Subject,Technique,Thumb URL,Title
1911 [PURCHASE],29.0/ 1499,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,"AZ, PIMA COUNTY, COMALIC",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1499.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1500,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,PESTLE,"SONORA, EMBANKMENT OF SONORITA RIVER",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1500.jpg,PESTLE
1911 [PURCHASE],29.0/ 1501,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,"SONORA, SONORITA",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1501.jpg,AXE
1911 [PURCHASE],29.0/ 1502,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,"SONORA, SONORITA",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1502.jpg,AXE
1911 [PURCHASE],29.0/ 1503,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW SMOOTHER,"SONORA, SONORITA",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1503.jpg,ARROW SMOOTHER
1911 [PURCHASE],29.0/ 1505,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,PESTLE,"SONORA, RANCHOS CHIREONES",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1505.jpg,PESTLE
1911 [PURCHASE],29.0/ 1506,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,PESTLE,"SONORA, RANCHOS CHIREONES",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1506.jpg,PESTLE
1911 [PURCHASE],29.0/ 1507,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,"SONORA, NEAR ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1507.jpg,STONE
1911 [PURCHASE],29.0/ 1508,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,RING,"SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1508.jpg,RING
1911 [PURCHASE],29.0/ 1509,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,DISK,"SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1509.jpg,DISK
1911 [PURCHASE],29.0/ 1510,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,"CEREMONIAL, OBJECT","SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1510.jpg,CEREMONIAL OBJECT
1911 [PURCHASE],29.0/ 1511,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,"CEREMONIAL, OBJECT","SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1511.jpg,CEREMONIAL OBJECT
1911 [PURCHASE],29.0/ 1512,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING TOOL,"SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1512.jpg,VARA
1911 [PURCHASE],29.0/ 1513,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,AXE,"SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1513.jpg,AXE
1911 [PURCHASE],29.0/ 1514,,CONTAINERS,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,VESSEL,"SONORA, NEAR ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1514.jpg,VESSEL
1911 [PURCHASE],29.0/ 1515,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,OBJECT,"SONORA, NORTH OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1515.jpg,PESTLE LIKE OBJECT
1911 [PURCHASE],29.0/ 1517,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1517.jpg,SHELL
1911 [PURCHASE],29.0/ 1518,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1518.jpg,SHELL PIECE
1911 [PURCHASE],29.0/ 1519,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1519.jpg,SHELL PIECE
1911 [PURCHASE],29.0/ 1520,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1520.jpg,SHELL PIECE
1911 [PURCHASE],29.0/ 1521,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,ARROW POINT,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1521.jpg,ARROW POINT
1911 [PURCHASE],29.0/ 1522,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,"CEREMONIAL, OBJECT","SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1522.jpg,CEREMONIAL OBJECT
1911 [PURCHASE],29.0/ 1523,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,FLINT,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1523.jpg,FLINT PIECE
1911 [PURCHASE],29.0/ 1524,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1524.jpg,STONE
1911 [PURCHASE],29.0/ 1525,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,PESTLE,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1525.jpg,PESTLE
1911 [PURCHASE],29.0/ 1526,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,PIPE,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1526.jpg,PIPE
1911 [PURCHASE],29.0/ 1527,,,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,SHELL,"SONORA, NW OF ALTAR",,,,,,,,https://anthro.amnh.org/images/preview/290/290_1527.jpg,SHELL PIECE
1911 [PURCHASE],29.0/ 1528,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1528.jpg,GRINDING STONE
1911 [PURCHASE],29.0/ 1529,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1529.jpg,GRINDING STONE
1911 [PURCHASE],29.0/ 1530,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1530.jpg,GRINDING STONE
1911 [PURCHASE],29.0/ 1531,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1531.jpg,GRINDING STONE
1911 [PURCHASE],29.0/ 1532,,EQUIPMENT,NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,,,,,,,"LUMHOLTZ, CARL, DR.",,,GRINDING STONE,"SONORA, NW OF ALTAR",STONE,,,,,,,https://anthro.amnh.org/images/preview/290/290_1532.jpg,GRINDING STONE
