Id,Acquisition Year,Acquisition Type,Latitude,Longitude,Country,Locale
1 / 34,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 132,1880,Purchase,0,0,,Chiriqui
1 / 185,1880,Purchase,0,0,,Chiriqui
1 / 216 *,,,23.634501,-102.552784,Mexico,
1 / 219,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 220,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 230,1880,Purchase,23.634501,-102.552784,Mexico,Veracruz
1 / 231,1880,Purchase,23.634501,-102.552784,Mexico,Veracruz
1 / 271,1880,Purchase,0,0,,
1 / 295,1880,Purchase,23.634501,-102.552784,Mexico,Tenato
1 / 296,1880,Purchase,23.634501,-102.552784,Mexico,Yucatan
1 / 299,1880,Purchase,23.634501,-102.552784,Mexico,"Oaxaca, Tehuantepec"
1 / 300,1880,Purchase,23.634501,-102.552784,Mexico,N.E. Mt. Oriziba
1 / 301,1880,Purchase,23.634501,-102.552784,Mexico,N.E. Mt. Oriziba
1 / 302,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 304,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 305,1880,Purchase,23.634501,-102.552784,Mexico,"Tabasco, Jonuta"
1 / 306,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 307,1880,Purchase,23.634501,-102.552784,Mexico,Jonuta
1 / 308,1880,Purchase,23.634501,-102.552784,Mexico,Jonuta
1 / 310,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 311,1880,Purchase,23.634501,-102.552784,Mexico,Jonuta
1 / 312,1880,Purchase,23.634501,-102.552784,Mexico,Jonuta
1 / 313,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 314,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 315,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 316,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 317,1880,Purchase,23.634501,-102.552784,Mexico,
1 / 318,1880,Purchase,0,0,,Chiriqui
