LookupString,Latitude,Longitude,GeoName
"Chiconauhtla, Mexico",0,0,
"Santiago Ahuitzotla, El Corral, Mexico",0,0,
"El Arbolillo, Mexico",19.5356514,-99.1394773,"El Arbolillo, Gustavo A. Madero, Ciudad de México, 07240, México"
"Tabasco, Comalcalco, Mexico",18.2615076,-93.2231523,"Comalcalco, Tabasco, 86300, México"
"San Juan Teotihuacán, Mexico",19.6875296,-98.8757397,"Teotihuacán, Estado de México, 55845, México"
"Ticoman, Mexico",19.5629584,-99.1731712,"Ticoman, Tlalnepantla, Tlalnepantla de Baz, Estado de México, 54120, México"
"Nonoalco, Campo Cerro, Mexico",0,0,
"Chalco, Mexico",19.2382585,-98.81888376395177,"Chalco, Estado de México, México"
"Zacatenco, Mexico",19.5100055,-99.1159678,"Zacatenco, Gustavo A. Madero, Ciudad de México, 07359, México"
"Sinaloa, West Bank Of Rio Sinaloa, Mexico",0,0,
"Oaxaca, Mexico",17.0,-96.5,"Oaxaca, México"
"Oaxaca, Mitla, Mexico",16.920833,-96.361667,"San Pablo Villa de Mitla, Oaxaca, 70430, México"
"Veracruz, Pavon Site, Mexico",20.5847785,-97.4887798,"José M. Morelos y Pavón, Kilometro Siete (El Paraiso los Limones), General Lazaro Cardenas del Rio, Terrenos del Lote ""San Miguel Mecatepec"", Tihuatlán, Veracruz de Ignacio de la Llave, 93230, México"
"Morelos, Cuernavaca, Gualupita, Mexico",18.9302157,-99.2332957,"Gualupita, Cuernavaca, Morelos, 62270, México"
"San Salvador, El Salvador",13.6989939,-89.1914249,"San Salvador, Departamento de San Salvador, CP-1101, República de El Salvador"
"Oaxaca, Cuilapa, Mexico",0,0,
"Valley Of Mexico, Mexico",19.4326009,-99.1333416,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México"
"Tamaulipas, Tampico, Las Flores, Mexico",22.3711946,-97.9045971,"Las Flores, Altamira, Tamaulipas, 89600, México"
"Aztahuacan, Mexico",19.3572718,-99.0333653,"Zona Urbana Ejido Santa María Aztahuacán, Iztapalapa, Ciudad de México, 09500, México"
"Jalisco, Pueblo San Andrés De Camiata, Mexico",0,0,
"Oaxaca, Xoxocotlán, Mexico",17.0620874,-96.757009,"Oaxaca, Arbolada Ilusión, Oaxaca, Municipio de Oaxaca, Oaxaca, 68154, México"
"San Francisco Mazapan, Mexico",0,0,
"Oaxaca, Nochistlan, Mexico",17.0408573,-96.6933964,"Andador Nochistlán, El Rosario, San Sebastián Tutla, Oaxaca, 68130, México"
"Teotihuacán, Mexico",19.690089649999997,-98.84536815577445,"Teotihuacán, MEX 132, Teotihuacán, Estado de México, 55850, México"
"Coclé, Panama",8.4604873,-80.4305652,"Coclé, Distrito Penonomé, Coclé, Panama"
"Jerico, Honduras",14.0890087,-87.20812409963084,"Jerico Community Bilingual School, Bulevar Comunidad Económica Europea, Colonia El Prado, La Bolsa, Tegucigalpa, Francisco Morazán, 12101, Honduras"
"Santiago Ahuitzotla, El Corral, General, Mexico",0,0,
"Xico, Mexico",19.4457798,-97.0707568368614,"Xico, Veracruz de Ignacio de la Llave, México"
"Chihuahua, Rancho San Diego, Mexico",0,0,
"Peninsula Of Nicoya, Costa Rica",10.1467475,-85.4535441,"Repuestos La Peninsula, Avenida 9, Barrio Santa Lucía, Barrio Los Ángeles, Nicoya, Cantón Nicoya, Provincia Guanacaste, 50201, Costa Rica"
"Puebla, Tepeaca, Mexico",18.9680556,-97.9025,"Tepeaca, Puebla, 75200, México"
"San Juan Teotihuacan, Mexico",19.6718407,-98.845069,"San Juan Teotihuacan, MEX 132, Teotihuacán, Estado de México, 55850, México"
"Calixtlahuaca, Mexico",19.3343316,-99.6889279,"Calixtlahuaca, Toluca, Estado de México, 50290, México"
"Oaxaca, Ixtepec, Mexico",17.0374939,-96.6933359,"Ixtepec, El Rosario, San Sebastián Tutla, Oaxaca, 68130, México"
"Mercedes, Costa Rica",9.9409094,-84.0526955,"Mercedes, Cantón Montes de Oca, Provincia San José, 11503, Costa Rica"
"Finca Pompeya, Guatemala",4.118433,-73.3830601,"Finca Guadalupe, vía Alto Pompeya - Pachaquiaro - Puerto López, Puerto Lopez, Meta, Colombia"
"Atzcapotzalco, Mexico",25.7430591,-100.3601559,"Atzcapotzalco, Lomas Modelo, Monterrey, Nuevo León, 64210, México"
"Cholula, Mexico",20.743333,-98.502222,"Cholula, Tianguistengo, Hidalgo, México"
"Limon, Siquierres, Costa Rica",10.091917200000001,-83.50272926422062,"Colegio Universitario de Limón, Carretera José Joaquín Trejos Fernández, Barrio Las Palmiras, Barrio María Auxiliadora, Siquirres, Cantón Siquirres, Provincia Limón, 70301, Costa Rica"
"Jalisco, Mexico",20.3333331,-103.6666671,"Jalisco, México"
"Oaxaca, Nochistlán, Mexico",17.0408573,-96.6933964,"Andador Nochistlán, El Rosario, San Sebastián Tutla, Oaxaca, 68130, México"
"Guerrero, Mexico",17.666667,-100.0,"Guerrero, México"
"Tamaulipas, Tancol, Mexico",22.298348,-97.8964767,"Tancol, Tampico, Tamaulipas, 89344, México"
"Veracruz, Mexico",19.333333,-96.666667,"Veracruz de Ignacio de la Llave, México"
"Sonora, Huatabampo, Mexico",26.8176632,-109.6081921,"Sonora, Los Patos, La Unión, Huatabampo, Sonora, 85994, México"
"Oaxaca, Monte Alban, Mexico",17.051667,-96.781944,"Monte Albán, Santa María Atzompa, Oaxaca, 68154, México"
"Durango, San Francisco De Lajas, Mexico",0,0,
"Veracruz, Tabuco, Mexico",19.5370283,-96.9030045,"Tabuco, Lázaro Cárdenas, El Tanque, Xalapa, Veracruz de Ignacio de la Llave, 91180, México"
"Cartago, Cartago, Costa Rica",9.8642435,-83.9204377,"Cartago, Cantón Cartago, Provincia Cartago, 30101, Costa Rica"
"Veracruz, Panuco, Mexico",22.161917,-98.1522495,"Veracruz, Las Ánimas, Confederación Nacional Campesina (Canoas), Pánuco, Veracruz de Ignacio de la Llave, México"
"Oaxaca, Mixtequilla, Mexico",16.4767033,-95.3457106,"Supercarretera Tehua - Lachiguiri, Santa María Mixtequilla, Oaxaca, México"
"Colima, Mexico",19.166667,-104.0,"Colima, México"
"Vera Cruz, Mexico",20.1402352,-98.672521,"Vera Cruz, San Pedro Huixotitla, Mineral del Monte, Hidalgo, 42130, México"
"Guerrero, San Geronimo District, Mexico",0,0,
"Guerrero, Mazela, Mexico",0,0,
"Veracruz, Panuco, El Prisco, Mexico",0,0,
"Chiriqui, Panama",8.139963649999999,-82.25984378775684,"Chiriquí, Panama"
"Jalisco, Totoate, Ruin, Mexico",0,0,
"Veracruz, Panuco, Pavon Site, Mexico",0,0,
"Puebla, Cholula, Mexico",19.0233438,-98.3076366,"Puebla, Tonantzintla (Santa María Tonantzintla), San Andrés Cholula, Puebla, 72828, México"
"Guerrero, Acapulco, Mexico",16.9003769,-99.8454285,"Guerrero, 15 de Septiembre, Colonia Loma Larga (El Basurero), Acapulco, Acapulco de Juárez, Guerrero, 39300, México"
"Salvador, El Salvador",13.8000382,-88.9140683,El Salvador
