text,count
ASIAN ETHNOGRAPHIC COLLECTION,52938
MEXICAN & CENTRAL AMERICAN ARCHAEOLOGICAL COLLECTION,52303
NORTH AMERICAN ETHNOGRAPHIC COLLECTION,47607
AFRICAN ETHNOGRAPHIC COLLECTION,34588
PACIFIC ETHNOGRAPHIC COLLECTION,25624
SOUTH AMERICAN ETHNOGRAPHIC COLLECTION,21236
MEXICAN & CENTRAL AMERICAN ETHNOGRAPHIC COLLECTION,7779
SOUTH AMERICAN ARCHAEOLOGICAL COLLECTION,3377
NORTH AMERICAN ARCHAEOLOGICAL COLLECTION,1769
EUROPEAN ETHNOGRAPHIC COLLECTION,437
PACIFIC ARCHAEOLOGICAL COLLECTION,363
ASIAN ARCHAEOLOGICAL COLLECTION,209
EUROPEAN ARCHAEOLOGICAL COLLECTION,30 
