text,count
<empty>,233236
RAÚL DE LOS RÍOS,2018
"SELER, ED., DR.",1131
"SAVILLE, M.H.",792
"BIRD, JUNIUS, DR.",722
"HUNT, GEORGE & BOAS, FRANZ",476
HERBERT H. SMITH,460
"C. F. BRIGGS, MR. AND MRS.",450
"KROEBER, ALFRED L.",430
"BURKE, JOHN, LT-COMMANDER",411
"JAKOBSEN, FILLIP",390
WILLIAM BEVERLY HARRISON,349
"KROEBER, A.L.",336
"DIXON, ROLAND B.",303
BERTHA SMALLEY,302
"TEIT, JAMES A.",286
"HASSLER, EMIL",271
JAMES LAWTON,270
HARALD SCHULTZ,241
RONALD L. OLSON,232
"BARTLETT, CAPT.",225
BOAS/HUNT,209
"LEVY, LOUIS",195
CAPT. HAGADORN,183
DIGUET,180
"FRANKS, ROTHENBURG, PARKHURST",165
DR. JUNIUS BIRD,163
"HILLERMAN, DALE G.",157
"SELER, EDUARD",146
"DR. HAUPT JR, HERMAN, COLLECTED BETWEEN 1885-1893",138
CASPAR WHITNEY (DONOR'S FATHER),124
"GLAVE, E.J.",108
OGILVIE,106
"FLAHERTY, DAVID",104
"RAVEN, H. C. AND VERNAY, A. S.",104
"HARDIE, FRANCIS H., LT. COL.",103
DR. AMBROSETTI,101
H. WALDE VON WALDEGG,99
"BUMPUS, H.C., DR.",96
"FARRAND, LIVINGSTON",90
COL. ARTHUR J. WILLIAMS,90
"WYNAM, WALTER C., MR.",87
JAY AND EDITH LOUTHIAN,86
"SEELMANN, THEODORE",80
DR. KENAN ERIM,74
"BELL, ROBERT, PROF.",69
"GOULD, RICHARD, DR. AND MRS.",61
"G.S. SIMPSON, 1939",61
"BRASS, L.J.",60
D.B. KAYE JR. (DONOR'S UNCLE),60
"SATTERLEE, GENERAL",52
DONOR'S UNCLE DON CARLOS MOURAILLE M.D.,52
"GREENE, AUGUSTA, MRS.",51
"MARBLE, FRANK",51
"PEPPER, G.",50
GEORGE PEPPER,50
"SMITH, HARLAN I.",48
"MONTERO, MANUEL",45
ROBERT V. AND NANCY C. MOREY,44
"HOWES, SETH B.",40
"BUTLER, HARRY",40
"MCLOYD, CHARLES AND GRAHAM, C.C.",39
"ANNITA KER, 1929",38
"WOLFF, P.E.",37
"MAJOR JOHN C. TIDBALL, DONOR'S FATHER",32
"PARSON, ELSIE CLEWS",31
B. MAGUIRE,31
"LUMHOLTZ, CARL",28
"SATTERLEE, JOHN V.",27
"WARINNER, JOHN M.?",26
"MENIL, ADELAIDE DE, AND CARPENTER, EDMUND",25
HARALD SCHULZ,25
"DICKINSON, W.E. (PRIOR TO 1904)",24
"SHIRLAW, WALTER",24
DONOR'S BROTHER,23
"HUNT, GEORGE",22
HARALD SCHULTZ AND VILMA CHIARA,22
"MCALPINE, VOLNEY, DR.",21
KATHERINE STURGIS KNIGHT,21
"STOLPE, HJALMAR, MR.",20
"MIDDLETON, F.D.",20
"MCLEAN, MRS. ANGUS",20
"ROBLEY, MAJ. GEN.",19
MORRIS & BERNHEIMER?,18
LIMEKILLER (DONOR'S FATHER),17
"PACE, EDWIN",17
GERALDINE BAILEY TAYLOR,17
"NICOLAT, PROF.",16
"BOAS, FRANZ & SCHIFF, E.",16
"BOAS, FRANZ. & FARRAND, LIVINGSTON",15
"MASON, CHARLES S. COLLECTION",14
ALGOT LANGE,14
RUSSELL W. HENDEE,14
"MATT, C.",12
"GOUYARD, G.",12
"LINDSEY, LT.",12
"DRUM, ROSS W.",12
ENGLEMANN COLLECTION,11
"PHILIPS, FRANK",11
"WOODWARD, ARTHUR A., JR.",11
"BALES, L.L.",11
"SPECK, FRANK G.",10
"IVANOFF, PAUL",10
"STEPHENS, JOHN L.",10
FRANK STUART,9
ROBERT L. RUSSELL,9
"BROWN, BARNUM",9
"BOAS, FRANZ",8
"THOMSPSON, W.A.",8
ROBERT L. KELLY,8
THOMAS KEAM,8
"GOLDMARK, REUBEN",8
