text,count
<empty>,105075
CHINESE,7832
ESKIMO,4447
INDIAN,3001
TIBETAN,2199
BAGOBO,1803
CAMPA,1742
BALINESE,1631
ZUNI,1589
JAPANESE,1567
YORUBA,1336
HUICHOL,1244
TLINGIT,1208
CHUKCHI,1138
HOPI,1092
ASHANTI,1072
CHAMA (SHIPIBO/CONIBO),1006
MANGBETU,943
KOREAN,834
LOZI? (BAROTSE?),833
PLAINS,807
ZAPOTEC,786
"ESKIMO, WEST ALASKA",782
HAIDA,780
NLAKA'PAMUX,778
KARAJÁ,770
OJIBWA,762
ARAPAHO,760
CHINESE ?,758
MORO,747
KORYAK ?,744
NAVAJO,727
HANUNÓO,726
SAKHA,705
VISAYAN,701
PENDE (BAMPENDE),701
PAPAGO,686
MENOMINEE,653
KUBA,643
TCHAMBULI,641
CONIBO,618
AZTEC,617
'WAKW,582
LUBA,574
TSEMBAGA,565
"ESKIMO, POLAR",547
"TLINGIT, CHILKAT",543
RUSSIANIZED NATIVES,537
TAGALOG,535
PILAGÁ,529
WAYANA (OYANA),514
ABELAM,511
"SIOUX, LAKOTA, OGLALA",502
NAHUATL,471
IFUGAO,455
"ESKIMO, BAFFINLAND",451
YUPIK,441
TUKANO,437
JAVANESE,430
"ESKIMO, IGLULIK",416
WINNEBAGO,415
"ESKIMO, SOUTHAMPTON",401
"NUU-CHAH-NULTH, CLAYOQUATH",396
MAZAPAN,393
"TLINGIT, CHILKAT QWAN",390
SAC AND FOX,385
SAN ILDEFONSO,384
"APACHE, SAN CARLOS",384
ZULU,384
IROQUOIS,383
WAORANI (AUCA),382
AMAHUACA,381
"APACHE, JICARILLA",379
CASHIBO,376
MAASAI,372
TAOS,371
MANGBETU?,371
CROW,366
"BUSHMAN, KUNG",364
WAIWAI,359
KUIKURU,356
SHAVANTE,355
KITIKSHAN,353
EVEN,352
NGWATO (BAMANWATO),348
TUPARÍ,341
SHOSHONI,339
KARAMOJONG,339
"ESKIMO, COPPER",332
SEMAI SENOI,332
JÍVARO,331
GROS VENTRE,330
"NGUMBI (HUMBE, VAHUMBE)",328
INKA,327
LOZI?,326
HULI,312
SARAMACCANER,306
MARITIME KORYAK,300
ZANDE,300
NUXALK,297
"ESKIMO, IGLULIK, AIVILIK",293
"IGOROT, BENGUET IGOROT",292
SHIPIBO,286
"BLACKFEET, PIEGAN",282
"ESKIMO, NETSILIK",282
YUROK,281
TIRURAY,277
ZULU?,277
LELE (BASCHILELE),275
NUU-CHAH-NULTH,274
DJUKA,273
SEMINOLE,270
"ARAPESH, MOUNTAIN ARAPESH",269
PARESSÍ,268
CHOROTEGUAN,263
MONTAGNAIS,261
TARAHUMARA,261
VISAYAN?,258
"TLINGIT, SITKA QWAN",257
"YANOMAMÖ (WAICA), SHAMATARI?",252
HOPI (MOKI),249
"ESKIMO, CARIBOU, KINIPETU",249
KUMA,248
PYGMY,246
NTOMBA (NTUMBA),244
KETE,244
HAUSA,242
UTE,240
JÍVARO (UNTSURI SHUARA),239
AUCANER,239
TCHAMBULI?,237
CHEYENNE,235
"VIETNAMESE (VIET, KINH)",235
TIKUNA (TUCUNA),235
APACHE,230
AGUARUNA,230
TOBA,229
ARMENIAN,228
VIETNAMESE,228
ZANDE?,225
MAORI,222
"ABNAKI, PENOBSCOT",221
POMO,220
"CREE, PLAINS",220
BLACKFEET,217
WAPE,216
PIMA,216
NGALA (BANGALA),211
TEPEHUANE,211
MUNDUGUMOR,210
"TLINGIT, SITKA",209
YAKA (BAYAKA),208
TURKANA,208
SARCEE,205
"'WAKW, KOSKIMO",203
"DOROBO (OKIEK, NDOROBO)",203
NANAI,202
NEGRITO,202
KAKOLI,201
IGOROT,199
LUJERE,198
MAIDU,198
HOOPA,197
ILOCANO,197
PIRO,196
TIBETAN ?,194
URUBÚ-KAAPOR,194
KIKUYU,192
HAVASUPAI,190
AINU,190
SUK (POKOT),190
MARITIME KORYAK/OLUTORA KORYAK,186
BURMESE,185
"SIOUX, DAKOTA",183
"TLINGIT, HOONAH KOW",182
NASCA,181
SIOUX,180
MICMAC,180
INDIAN ?,179
LAGUNA,178
ISHKONAHUA,178
PARACAS,177
"HIDATSA?, MANDAN?",176
TSIMSHIANIC,175
BANE (BENE),174
CHIN,172
"KUMAN, NUMIOMANI TRIBE",171
UZBEK,171
NEPALESE,170
"APACHE, MESCALERO",169
"TLINGIT, HOOTZ-A-TA QWAN",169
NIVKHI,168
CHULUPÍ (CHUNUPÍ),167
BASAKOMO,166
"TLINGIT, STIKINE QWAN",165
OLUTORA KORYAK,164
MATAKO,164
RIKBAKTSÁ,164
PENDE? (BAMPENDE?),164
MAYA,163
CORA,163
MATSES (MAYORUNA),161
TUAREG,161
WITOTO,159
"IROQUOIS, SENECA",158
"OJIBWA, SAULTEAUX",157
HUICHOL ?,156
BANIVA,155
SAN JUAN,154
YUCHI,152
YAHGAN,152
"DEG XIT'AN?, ATHAPASCAN",151
SHONA?,150
OTOMI,150
"IGOROT, BONTOC IGOROT",147
CUNA,147
INKA?,146
MAE,143
BAGOBO AND ALLIED PEOPLES,143
PAVIOTSO,139
MENDI,138
MALECITE,138
POTAWATOMI,138
ALEUT,137
LACANDON,137
NAMBE,135
TEKE,134
PLAINS?,133
CARIB,133
KOFYAR,133
MOSSI,132
"INDIAN, RABARI",131
TLINGIT?,130
MANGIYAN,130
ABARAMBO,130
"IGOROT, LEPANTO IGOROT",129
MAWIA,129
KEREK,128
TAMPOCA,128
KUBA?,128
BIKOL,127
ASSINIBOINE,126
GOAJIRO,126
"CHOKWE (BACHOKO), MWAMBA?",126
YAGUA,125
PINTUPI,124
TAPIRAPÉ,124
MAHAFALY,123
KIOWA-APACHE,122
SAMBU? (SAMBIU),122
PITJANTJARA,121
ST'�T'IMC,121
SANTA CLARA,121
CHINESE (HAN),120
SEMAI,120
BERBER,120
MIXTEC,120
"APACHE, WHITE MOUNTAIN",119
"FORMOSAN, YAMI",119
BORORO,119
SHASTA,118
HIDATSA,118
BORA,118
SANTO DOMINGO,115
ONA,115
CHITIMACHA,114
"ESKIMO, MACKENZIE",114
"PYGMY, TWA",114
"ARAPESH, PLAINS ARAPESH",113
NEZ PERCE,112
"CHEYENNE, NORTHERN",112
LOKELE,112
KLIKITAT,111
"IATMUL, EASTERN IATMUL, TAMBUNAN",110
DOGON,109
"MONTAGNAIS, NASKAPI",108
NAGA,108
ARAPESH?,104
BARAWA,104
"IROQUOIS, CAYUGA",103
"TLINGIT, GUN-NAH-HO QWAN",103
AYOREO (MORO),103
LUO (KAVIRONDO),103
"INDIAN, KOTA",102
CHAMACOCO (CHAMACOCOS BRABOS),102
ACHUARA,102
MOBA,102
BULU,102
COMANCHE,101
"TLINGIT, YAKUTAT",101
"MONGO?, NGOMBE?",101
DELAWARE,100
SIAMESE,100
KOFÁN,100
"BIRA (BABIRA PYGMY), PYGMY, MBUTI?",99
ABELAM/PLAINS ARAPESH?,98
"OJIBWA, NORTHERN",98
QUINAULT,98
"BLACKFOOT, BLOOD",98
ITELMEN,98
NAMBIKUARA,98
CATAWBA,97
LUBA?,97
CHIGA (BATCIGA),97
SENUFO,97
BORUCA,97
AFRICAN-AMERICAN,96
MAM,96
"TLINGIT, HOOTSNAHOO",95
"PAIUTE, MOAPA",95
MISKITO,95
YUKAGHIR,94
JÍVARO (SHUAR),94
GIO,93
KAMBA (WAKAMBA),93
IK,93
TEPECANO,93
ACOMA,92
"TLINGIT, AUK QWAN",92
KPELLE (KPESSI),92
"CREE, NORTHERN",91
OKINAWAN,91
YARURO,91
MORO ?,90
BENA DIMONA?,90
SECOYA,89
SOUTHWEST?,88
ONGE,88
COCHITI,87
"IKOMA, KISHU",87
CREE,86
SUA,86
ZIA,85
SAMOYED,85
YANOMAMÖ,85
ABARAMBO?,85
CASHINAHUA,84
ARUNTA,83
PUEBLO,83
LAND DYAK,83
LOGO?,83
TOGBO (BANDA),83
SAN BLAS INDIANS,83
"DYAK, SIANG AND MURUNG",82
KENYAH,82
KORFAN,81
BAMBARA,81
MANOBO,80
KAINGÁNG,80
CÁGABA (KÁGABA),80
TIRURAY?,79
SHIMAKU,79
HOTI,79
GOAJIRO (GUAJIRO),79
MAKERE,79
TIKUNA,78
VALIENTE,78
"TLINGIT, HOONAH",77
FOX,77
"IROQUOIS, ONEIDA",77
MANO,77
BAULE,77
NGATATJARA,76
DIEGUENO,75
THAI,75
ZUNI?,74
ME-WUK,74
"TLINGIT, HENNEA QWAN",74
PANGASINAN,74
MACHIGUENGA,74
TETELA (BATETELA),74
AMHARA,74
LUFA,73
CHILCOTIN,73
EASTERN WOODLANDS,73
"OJIBWA, NORTHERN OJIBWA",73
KRAHÓ,73
JEMEZ,72
USIAI,71
CHANCAY?,71
DZING (BADINGA),71
NGOMBE,71
"ARAPESH, BEACH ARAPESH",70
GURURUMBA,70
BEDOUIN,70
CHÉBERO (JÉBERO),70
BEAVER,69
IBAN,69
XHOSA,69
TESUQUE,68
LOGO,68
SWAHILI,68
ARAB,67
ATTA (AIT ATTA),67
NAFARIPI,66
QUECHUA,66
IBIBIO,66
"CHEYENNE, SOUTHERN",65
CHOCÓ,65
ARAWAK ?,65
MBUKUSHU? (HAMBUKUSHU),64
MARITIME CHUKCHI,63
JAH HUT,63
LEGA,63
ZAPPOZAP,63
DEG XIT'AN?,62
"TLINGIT, THLAR-HAR-YEEK QWAN",62
KAMAYURÁ,62
AMARAKAERI,62
HEHE,62
MANAMBU,61
SLAVE,61
"INDIAN, APA TANI",61
AYMARA,61
APACHE?,60
"INDIAN, MEITEIS",60
"MOIE, TEKE?",60
EASTERN WOODLANDS?,59
"TLINGIT, AUK",59
CHINESE (SUNG),59
PAGAN PEOPLE,59
TURKOMAN,59
CHANCAY,59
KACHIN,58
MATAKO (MATACO),57
"'WAKW, DZA'WADEENOX",56
CHOCTAW,56
MAIDU?,56
"SIOUX, DAKOTA, WAHPETON",56
SHUSWAP,55
WAPISHANA (WAPISIANA),55
KRA,55
ZAMBALES,54
TANALA,54
CHEROKEE,53
KOOTENAI (TOBACCO PLAINS),53
TINGUIAN,53
JAPANESE ?,53
"MORO, MAGUINDANAO MORO",53
HUAVE,53
"CHEROKEE, EASTERN",52
"PAIUTE, SHIVWITS",52
"ESKIMO, SOUTH ALASKA",52
COCAMA,52
KAMARAKOTO,52
MATÍS,52
MONGO,52
"LELE (BASCHILELE), KUBA",52
SOMALI,52
CHIGA (CIGA),52
"SIOUX, LAKOTA, BRULE",51
"MORO, SULU MORO",51
PUSHTUN,51
BARÍ (MOTILONES),51
"BARÍ, MOTILONO",51
MASAI?,51
SENGELE (BASENGELE),51
BABEO (MONGHELIMA),51
KENAGI,50
PAPAGO?,50
WICHITA,50
FLATHEAD,50
FORMOSAN,50
CHINESE (MING),50
MONGOLIAN,50
TAIWANESE,50
MATSES,50
SOMALI?,50
SOKO (BASOKO),50
ATTA,50
HAIDA?,49
KAREN,49
BAGABO,49
DOROBO (WA DOROBO),49
'WAKW?,48
SAC,48
"IROQUOIS, ONONDAGA",48
PAWNEE,48
"POWHATAN, PAMUNKEY",48
EVENK,48
BAGOBO ?,48
JÍVARO ?,48
CHÁCOBO,48
BASHI?,48
HEILTSUK,47
"NUU-CHAH-NULTH, MO'TSI'ADEX",47
MANDAN,47
OSAGE,47
OLUTORA KORYAK OR KEREK,47
ÁGUANO,47
MANYEMA,47
BONI,47
"BIRUA, WASUAI BIRUA",46
OMAHA,46
"IROQUOIS, MOHAWK",46
ATHAPASCAN,46
"TLINGIT, TON-TA QWAN",46
"IGOROT, KALINGA IGOROT",46
"FORMOSAN, PAIWAN",46
DUALA?,46
CHOKWE (BACHOKO),46
NAVAJO?,45
REINDEER CHUKCHI,45
MIAO,45
YAO,45
KAYABÍ,45
WARI,45
TOTONACAN,45
TALAMANCA,45
SOUTHWEST,44
CHRISTIAN PEOPLE,44
"ZAPPOZAP, SONGE?",44
WASHKUK?,43
IWAM,43
"TLINGIT, STIKINE",43
SANTA ANA,43
"INDIAN, MARING",43
YORUBA?,43
VAI,43
SHONA? (MASHONA?),43
LUO,43
"EBANGWA, MANGBETU",43
PARE,43
WOLOF,43
UTE?,42
CHEYENNE?,42
"OJIBWA, PLAINS",42
LAPP (SAAMI),42
KARAJÁ (CARAJÁ),42
ACHUARA ?,42
NASCA?,42
LI (BALI),42
KARAMOJONG?,42
NUU-CHAH-NULTH?,41
KLAMATH (MODOC),41
NEGRITO ?,41
BOMA,41
SOKO? (BASOKO?),41
YAQUI,41
MOHAVE,40
PICURIS,40
"YOKUTS, MARIPOSA",40
KASKA,40
IOWA,40
WAPISHANA,40
YOMBE (MAYUMBE),40
KWELE,40
"SIOUX, DAKOTA, OGLALA",39
CADDO,39
BONTOC ?,39
AKAWAIO,39
KONKOMBA,39
NTOMBA? (NTUMBA?),39
BARABAIG? (BARABAIK),39
ARAPESH,38
PAIUTE,38
BATAK,38
POKOT,38
"IWAM, IWAM BUREMAI?",37
SPANISH,37
"MALISEET, PASSAMAQUODDY",37
SNUQUALMI,37
ACHUARA OR JÍVAR0,37
TESO,37
TAHLTAN,36
"TLINGIT, CHILKOOT",36
HUALAPAI,36
"CHINESE, CANTONESE",36
CALAMIANES,36
"FORMOSAN, BUNUN",36
MASAI (MASSAI),36
BWAKA,36
DAN,36
MAZAHUA,36
"POMO (YOKAIA, KULANAPAN)",35
PAMPANGA,35
HAUSA?,35
NYAMWEZI (WANYAMWESI),35
KONGO (BAKONGO),35
PUTUN,35
MURIK,34
"NIMO-ABOYAMO, BIRUA",34
SIOUX?,34
"BATTAK, RAYAH BATTAK",34
CASHIBO ?,34
MAPUCHE (ARAUCANIAN) ?,34
"QUIJO, SANTA ROSINO",34
SHILLUK,34
KARAMOJONG (KARIMAJONG),34
KWOMA,33
"PAIUTE, KAIBAB BAND",33
"SIOUX, DAKOTA (APACHE?)",33
KORYAK,33
"MORO, SAMAL MORO",33
CAYAPA,33
CHIRIGUANO,33
CHIMU,33
"NGALA (BANGALA, MONGALLA?)",33
PONDO,33
"WAKANGALA, LUCHAZE, SHAMBUNDU, TH",33
KORANKO,33
"BLACKFOOT, PIEGAN",32
"ACHOMAWI, ATSUGEWI",32
"SEMINOLE, BIG CYPRESS",32
"IGOROT, BANGNING IGOROT",32
JEWISH,32
CAMPA ?,32
KOTO,32
CHAMICURO,32
MUNICHI,32
GUAHIBO,32
SHIPIBO ?,32
"KAYAPÓ, MEKRANOTÍ",32
HERERO,32
TARASCAN,32
NUGUM,31
CHUKCHI?,31
IFUGAO ?,31
MIAO TRIBE,31
OTAVALO,31
YANOMAMÖ (GUAICA),31
MAUÉ,31
ZANDE (NIAM NIAM),31
CHIGA? (CIGA?),31
ISLETA,30
KIOWA,30
"SALISH, INTERIOR SALISH",30
"YAO, RED YAO",30
"HMONG, BLACK HMONG",30
KONGO?,30
ARAB TRADERS,30
TONGA (BATOKA),30
MAMVU (MOMVU),30
FINGO,30
CUNA ?,30
