text,count
<empty>,194690
Century A.D.,25226
circa 1900 A.D.,9095
Early 1900s,2809
Late 1800s,2806
Early/Mid 1900s,2701
Late 1930s,1106
Century,981
Early 1960s,948
1940s - 1950s A.D.,882
Early 1950s,524
Century (1895),503
1905-1907,410
1970-1983,397
1960s A.D.,384
1955-1961,323
1960s-1970s,318
Early 1910s,248
1957-1958,236
1953-1954,231
1932,218
1960s,208
1970s,170
1980s,157
Mid 1930s,130
Mid 1900s,127
1907-1908,119
2000,117
1950s,112
1900-1906,106
1974-1975,97
Early 1920s,92
Mid 1960s,90
1950-1951,88
1970-1971,83
Late 1800s-Early 1900s,79
Century?,75
1890s,71
Century (1950s),63
Early 1970s,63
Century (1882),46
Late 1900s,46
Century (1884),44
1905-1908,44
1950'S,34
Early 1980s,34
Century (1880),32
1860s,32
1965-1966,31
Century (1879),30
Century (1885),25
1900s,25
Century C.E.,24
1966-1967,23
1941,20
PRE-EUROPEAN,20
1992,18
1977,18
Century (COLLECTED JANUARY 2014),18
1989,15
1900-1912,15
TRANSITIONAL,14
2009,14
1950'S OR EARLIER,14
1600-1850 C.E. (Edo),13
2001,12
2011,12
Early 1900'S,11
CLASSIC,10
CA. 1940,10
Century (1892),10
Century (1881),9
1975,9
1997,9
Century (2014),9
Century (2016),9
MID-1900s,9
Century (2015),8
1980,8
1995,8
Late CLASSIC,8
1976,7
1960'S,7
1950s A.D.,7
Century (Late 1990s),7
1965,7
1978,6
1982,6
1991,6
DECEMBER 2002,6
Century (1966),6
1966,6
Mid 1900s (Early 1960s?),6
1993,5
1994,5
1985,5
1960,5
1945,5
KIEN LUNG,5
Century (1898),5
1974,4
1988,4
1987,4
1979,4
1998,4
Early 1970s?,4
CA 1900,4
MING,4
Early TO MID-1900'S,4
1930s,4
Century (1970s),4
Century (1986),4
Century (1969),4
Century (Early REPUBLICAN 1912-1949),4
Century A.D.?,3
Century (1993),3
1981,3
2006,3
CHOU DYNASTY,3
MING DYNASTY,3
1980'S,3
AUGUST/SEPTEMBER 2003,3
2008,3
Century CE,3
Century (2013),3
Century (MADE IN 1960s OR 1970s?),3
Century (2012),3
Century (1998),3
Century (2005),3
Century (1982),3
"Century (POST-MAO ERA, 1976-1989)",3
Century (1973),3
Early 1970'S,3
Century (1882-1884),2
2002,2
1990,2
1986,2
1984,2
MADE ABOUT 1812,2
CLASSIC ?,2
circa 1900 C.E.,2
T'ANG DYNASTY,2
1930-1938,2
1930s A.D.,2
3RD Century,2
1900 OR EARLIER,2
Century OR EARLIER,2
1820'S,2
Early 2000s,2
2010,2
Century (Early 1960s),2
Century (MADE IN 1960s OR 1970s),2
Century (1974),2
Century (1978),2
Century (1983),2
CA. 2000,2
Century A.D,2
1746,2
Century (1956-1957),2
Century (1989?),1
Century (1881-1884),1
Century (1880-1885),1
CARVED,1
TWO GENERATIONS OLD,1
1996,1
2003,1
1983,1
9/30/2015,1
Century (2018),1
PLate IS DATED 1846,1
BEAR CHIEF 1900,1
Late CLASSIC TRANSITIONAL,1
Late? CLASSIC,1
TRANSITIONAL?,1
1962,1
FROM 1880s,1
1950s?,1
2010?,1
1800s C.E.,1
Late CHOU DYNASTY,1
HAN DYNASTY,1
DATE ABOUT 400 A.D.,1
1400 A.D.,1
TOKUGAWA,1
1940s A.D.,1
Late 1700s,1
Late 1800s - Early 1900s C.E.,1
Late 1900s C.E.,1
Early 1900s C.E.,1
MODERN,1
CA 1883,1
1720,1
circa 1890,1
CHING DYNASTY,1
PROBABLY SUNG,1
CH'ING,1
CHOU OR HAN,1
PRE-HAN,1
1970'S?,1
circa 1912,1
Late 1930'S,1
CA. 1888,1
MADE BETWEEN 1880-1895,1
2/1/1979,1
1967,1
1700-1750,1
MING DYNASTY (1368-1644),1
MING DYNASTY(?) (1368-1644),1
MING DYNASTY(?) (1364-1644),1
REIGN OF KANG HSI (1661-1772),1
REIGN OF KANG HSI (1661-1722),1
MARCH 1985,1
CHOSON DYNASTY (1392-1910),1
CA. 1900,1
1920'S,1
2007,1
1900,1
1900s OR EARLIER,1
1971,1
1977/1978,1
1972,1
Century (circa 1960s),1
Century (1960s OR 1970s)?,1
CA 1915,1
"Century, DATED 1967",1
Century (6 FEBRUARY 2014),1
Century (2000),1
Century (BETWEEN 1966-1976),1
Century (1955),1
Century (29 SEPTEMBER 2012),1
Century (2010),1
Century (1992),1
Century (1970'S),1
Century (1958),1
Century (1962),1
Century (1967),1
Century (1972),1
Late QING DYNASTY,1
Century (1980),1
Century (1985),1
"Century (REPUBLICAN, 1912-1949)",1
Century (20136,1
Century (Late 1960'S),1
Century (1940'S?),1
Century (CA. 2010),1
1920-1940,1
Late 1990s,1
ATACAMENIAN?,1
CA 1700,1
OTTOMAN,1
C 1900,1
MID-1970'S,1
Late 1990'S,1
Early 1800s,1
1917,1
Century (1970s)?,1
Century (1915),1
Century (1932),1
Century (1945),1
