text,count
ARROW,13126
POTSHERD,8326
FIGURINE HEAD,7150
POTTERY,6808
BASKET,5988
BOWL,5393
FIGURINE,4373
CARVING,3319
SPEAR,3197
FIGURE,3024
KNIFE,2750
BAG,2676
SHADOW PUPPET,2590
NECKLACE,2456
JAR,2171
MASK,2130
SPOON,2030
FIGURINE FRAGMENT,2016
BRACELET,1973
SPINDLE WHORL,1781
BOW,1762
BELT,1585
FIGURINE BODY,1358
TEXTILE PRINTING BLOCK,1357
DISH,1328
ORNAMENT,1238
BEAD,1213
PENDANT,1211
MAT,1208
VESSEL,1099
CLUB,1097
COMB,1072
HEADDRESS,1066
PIPE,978
CLOTH FRAGMENT,970
POT,909
HAT,905
MEDICINE,898
ARROWPOINT,878
GOLDWEIGHT,876
BUDDHA,875
RATTLE,867
BOX,836
STONE BLADE,822
VASE,786
POUCH,761
SHELL,743
MOCCASIN,729
WHISTLE,723
PAINTING,716
CONTAINER,703
ADZE,695
CUP,694
CELT,693
DRAWING,691
CHARM,674
SHIELD,657
PADDLE,656
APRON,649
BASKET LID,647
DOLL,643
FLUTE,638
DRUM,636
STICK,635
EAR ORNAMENT,609
EARRING,609
MODEL,602
ARMBAND,599
BLANKET,595
WOODBLOCK PRINT,593
TEXTILE,592
AXE,589
AX,574
RING,573
OLLA,566
BAND,556
SCRAPER,556
AMULET,549
TRIPOD BOWL,539
NETSUKE,531
CLOTH,530
FETISH,524
LADLE,514
WAR CLUB,508
BONE,507
SKIRT,499
TOY,494
CAP,490
QUIVER,469
HEADBAND,465
KNIFE SHEATH,464
PESTLE,461
SWORD,431
ARMLET,430
PIPE BOWL,430
MONEY,427
FAN,423
SAMPLE,421
BELL,421
MORTAR,420
BASKET BOWL,414
MUSICAL INSTRUMENT,413
BOWL POTSHERD,404
SMOKING PIPE,402
BASKET TRAY,402
SNUFF BOTTLE,402
GIRDLE,395
BARKCLOTH,381
AWL,378
STONE KNIFE,375
WEAVING SAMPLE,372
BOTTLE,369
STONE,368
SANDAL,366
GOURD,361
TRAY,357
COIN,357
ROPE,355
PITCHER,354
BOX LID,348
PLATE,347
CARRYING BASKET,346
STOOL,343
ANKLET,343
LOOM,341
BASKET COVER,340
TAPA,339
SCROLL,339
STONE BEAD,337
RAFFIA CLOTH,337
DAGGER,330
TANGKA,330
SWORD GUARD,327
NEEDLE,322
CLAY TABLET,322
LAMP,318
STAMP,317
LABRET,314
HUNTING ARROW,311
BLADE,311
SPINDLE,308
CHISEL,303
SHEATH,303
CORD,301
BOOT,301
BOOK,299
TRIPOD VESSEL,297
HAIR PIN,293
LOOM BAR,293
COVER,292
BROOCH,291
CEREMONIAL,289
SHOE,287
PIPE STEM,277
SASH,276
LEGGING,275
HAMMER,265
SPEARPOINT,265
PLAYING CARD,264
FISH HOOK,260
DIPPER,260
HARPOON HEAD,260
THROWING CLUB,257
BALL,257
HARPOON,257
HAIR ORNAMENT,252
FABRIC,251
KRIS,243
TOP,242
LOOM PART,242
EAR PLUG,237
STONE POINT,236
COAT,234
PARFLECHE,234
DRUMSTICK,232
SHIRT,230
STRING FIGURE,229
VESSEL LEG,229
FEATHER,228
PURSE,228
METAL ORNAMENT,228
PIN,225
FISH TRAP,225
SLING,224
NET,219
POT LEG,219
TOGGLE,218
STONE PENDANT,217
PILLOW,216
PARFLECHE ENVELOPE,216
STONE FLAKE,215
BUTTON,210
TOOL,209
STAFF,207
WALKING STICK,205
BROOM,203
COSTUME,203
CARD GAME,203
SKIRT (WOMAN),202
EFFIGY WHISTLE,202
SLEEPING MAT,201
WORKED STONE,200
CORN,197
JACKET,194
POINT,194
STONE CORE,191
SHAWL,188
HOOK,187
STONE ARROWHEAD,187
ROD PUPPET,187
CLUB HEAD,186
PRAYER STICK,185
SINMAY CLOTH,185
HARPOON POINT,184
RIM POTSHERD,183
MOCCASIN (MAN),182
EARPLUG,181
LEGGING (WOMAN),181
ARMOR,180
BARK,179
LINE,178
BLOWGUN,177
ADORNO,177
BANGLE,176
DART,175
SEED,174
MODEL CANOE,173
FIRE FAN,173
BOOMERANG,171
KACHINA DOLL,171
EFFIGY POTSHERD,171
WHIP,170
BRICK,170
BRUSH,168
CROWN,168
PRINT,168
SHRINE,168
IMPLEMENT,167
OPIUM PIPE BOWL,167
IDOL,166
ADZE BLADE,165
BARK BEATER,164
DRILL,164
VOTIVE OFFERING,164
SILKSCREEN PRINT,162
WATER VASE,162
HUIPIL,161
BORDER FRAGMENT,160
SNUFF BOX,159
FOOD,158
RUG,158
LANCE,157
FEATHER ORNAMENT,156
ARROWHEAD,155
DRESS,153
TUNIC,153
STONE ARROWPOINT,153
