text,count
CLAY,28321
WOOD,15215
<empty>,13478
STONE,8759
PLANT FIBER,4297
"CLAY, PIGMENT",4265
"WOOD, PIGMENT",3616
BONE,3220
STONE (OBSIDIAN),2400
METAL (BRASS),2377
METAL,2091
CLAY (TERRA COTTA),1839
IVORY,1824
SHELL,1754
CLOTH (COTTON),1623
BAMBOO,1544
COTTON,1363
CERAMIC,1341
"PAPER, PIGMENT",1333
"WOOD, METAL",1314
METAL (IRON),1312
"WOOD, COATING",1289
CLOTH,1256
"HIDE, PIGMENT",1186
"PLANT FIBER, PIGMENT",1110
METAL (SILVER),1042
"WOOD, PLANT FIBER",974
GOURD,747
OBSIDIAN,737
METAL (COPPER),714
WOOL,668
CLOTH (WOOL),645
"CERAMIC, PIGMENT",599
"WOOD, STAIN",577
"PLANT FIBER, WOOD",514
"HIDE (GOAT), PIGMENT, BAMBOO, STRING",502
"CANE, WOOD, PLANT FIBER, PIGMENT",501
SHELL (COCONUT),495
METAL (BRONZE),494
"CLAY, PIGMENT?",490
CANE,477
"HIDE, FUR, SINEW",462
"PLANT FIBER, DYE",460
HIDE,439
"CLAY, GLAZE",429
"WOOD, METAL (IRON)",426
"PLANT FIBER, CORD",419
"CANE, WOOD, PLANT FIBER",417
"WOOD, CORD",410
GOLD,399
CAMELID FIBER,395
"BARKCLOTH, PIGMENT",391
"PLANT FIBER, TWIGS",390
HORN,379
"CANE, WOOD",374
"WOOD, HIDE",374
"METAL, WOOD",372
"WOOD, STRING",366
METAL (BRASS?),366
MINERAL (CLAY),364
STONE (SLATE),338
BARK,336
"HIDE, SINEW",334
BARK (CEDAR),332
CLOTH (SILK),330
"WOOD, PIGMENT, METAL",329
"WOOL, COTTON",329
LEAF (PALM),315
"CAMELID FIBER, COTTON",307
PALM LEAF FIBER,303
TERRA COTTA,289
"CLAY, GILT, LACQUER",283
POTTERY,283
"BARK, PIGMENT",280
"WOOD, PIGMENT, INK",277
CORD,260
"CANE, WOOD, STRING",257
"IVORY, PIGMENT",242
"CANE, WOOD, FEATHER, STRING",240
"CLAY, BLACK PIGMENT",240
"CANE, WOOD (PALM), PLANT FIBER, PIGMENT",236
"HIDE, FUR",236
"WOOD, METAL, COATING",234
"HIDE, BEADS, SINEW",232
FEATHER,231
STONE (JADE),224
"WOOD, METAL (IRON), COATING",223
"CERAMIC, COATING",222
ANTLER,220
BONE/IVORY,213
"BEAD, CORD",212
"CLAY, PIGMENT, GLAZE",211
"CANE, WOOD, FEATHER, SINEW, PIGMENT",207
"PAPER, PENCIL, PIGMENT",205
COPPER,203
"CARDBOARD, PAPER, PIGMENT",201
"PAPER, PAINT (WATERCOLOR)",200
RATTAN,197
"COTTON, WOOL",193
"METAL, COATING",191
"STRING (COTTON), METAL (PIN), PAPER",189
GREENSTONE,187
CLOTH (SINAMAY),184
"PAPER, INK",177
"CLOTH, PIGMENT",175
MINERAL (STONE),174
"METAL (BRONZE), GILT, PIGMENT",166
"WOOD, BARK",163
BEAD,162
"FUR, HIDE, SINEW",162
YARN (WOOL),161
"WOOD, PIGMENT, INK, METAL",161
CALABASH,160
"METAL (IRON), COATING",160
STONE (GREENSTONE),159
"WOOD, SINEW",159
"WOOD, PIGMENT, PLANT FIBER",157
"STONE, PIGMENT",157
STONE (QUARTZ),156
"PAPER, PENCIL, INK, PIGMENT",152
GRASS,150
"HIDE, PIGMENT, BAMBOO, METAL, THREAD",149
"CLOTH, THREAD",148
"HIDE, FUR, WOOD, FEATHER, PL.FIBER, COATING",147
"STRING, PIGMENT",146
"CLOTH (COTTON, CAMELID FIBER)",144
"PAPER, PENCIL",143
"BEAD, STRING",142
"PLANT FIBER, PIGMENT?",142
"COTTON, CAMELID FIBER",142
SEED,141
BARKCLOTH,138
PLASTER,137
JADE,136
"WOOD, METAL (IRON, COPPER)",134
"PLANT FIBER, COATING",134
"METAL (IRON), WOOD",132
"BONE, HIDE",131
"WOOD, STAIN, COATING",131
"BONE, METAL",129
STRING,128
FLINT,128
BRASS,128
"WOOD, PLANT FIBER, COATING",128
"WOOD, METAL, PIGMENT",126
"CLAY, WHITE PIGMENT",126
STONE (LAVA),125
"HIDE, WOOD, METAL, FIBER, CLOTH",123
STONE (JADEITE),121
"CLOTH (COTTON), THREAD",121
"GOURD, PIGMENT",121
"WOOD, LEAVES, METAL, COATING",120
"WOOD, PIGMENT?",119
"CLOTH (COTTON, WOOL)",119
"CANE, WOOD, FEATHER, PIGMENT, SINEW",119
"WOOD, BONE",118
"PAPER, PIGMENT (PAINT)",117
"SEED, STRING",116
"BONE, PIGMENT",116
"SHELL, PLANT FIBER",115
BONE (CASSOWARY),113
"PAPER (RICE PAPER), CLOTH, PAINT (WATERCOLOR), PIGMENT, CARDBOARD, THREAD",113
"WOOD, BAMBOO, PLANT FIBER",112
"FEATHER, CORD (PLANT FIBER)",112
"CLAY, RED PIGMENT",112
BARK (BIRCH),111
"CLAY, GLAZE, PIGMENT",110
"WOOD, PLANT FIBER, PIGMENT",109
PLANT FIBER (GRASS),109
"FEATHER, STRING",109
"WOOD, PIGMENT (PAINT)",109
"CLOTH, DYE",109
LEAF,108
WOOD (PALM),108
"WOOD, RATTAN",107
"SHELL, STRING",106
"CLOTH (CAMELID FIBER, COTTON)",106
"BAMBOO, WOOD, PLANT FIBER, PIGMENT",104
"PLASTER, PIGMENT",104
METAL (GERMAN SILVER),104
"CLAY, GLAZE (GREEN)",104
CLAY (MICACEOUS),102
PAPER,102
"CANE, WOOD, BONE, BARK, FEATHER, STRING (COTTON)",102
"BAMBOO, WOOD, PLANT FIBER",101
"WOOD, CLOTH",101
FIBER,100
"WOOD, METAL (BRASS)",100
"WOOD, FUR, METAL (IRON), PLANT FIBER, COATING",100
"BAMBOO, WOOD",98
"WOOD, PIGMENT ?",98
CLOTH (CAMELID FIBER),98
STONE (GREEN STONE),97
HORN (MOUNTAIN SHEEP),97
"WOOD, PIGMENT, COATING",97
RICE,96
"WOOD, METAL (IRON, BRASS)",95
GREEN STONE,95
"METAL (IRON, GOLD)",94
"METAL (ALLOY, GOLD)",94
TOOTH,93
SINEW,93
AMBER,93
"FUR, HIDE",92
STONE (FLINT),92
HORN (MOUNTAIN GOAT),90
CLOTH (ABACA),90
"WOOD, HIDE, FUR, FEATHER, PLANT FIBER, COATING",90
"WOOD, SHELL",89
"METAL, HIDE",89
METAL (TIN),89
"CLOTH (COTTON), PIGMENT",89
"FEATHER, PLANT FIBER",88
"HIDE, PIGMENT, THREAD",88
"BAMBOO, PLANT FIBER",87
REED,86
"BAMBOO, PIGMENT",86
"WOOD, FIBER",86
"PLANT FIBER, HIDE",86
"WOOD, CANE",85
"METAL, PIGMENT",85
"WOOD, METAL, PLANT FIBER, HIDE, FUR",85
GLASS,84
"PLANT FIBER, STRING",84
"WOOD, THREAD",83
"WOOD, BAMBOO",82
"WOOD, METAL, PLANT FIBER",82
"WOOD, METAL, HIDE",82
"BONE, SINEW",82
"METAL (BRONZE), GILT",82
SHELL (TORTOISE),81
"WOOD, HIDE, METAL",81
METAL (GOLD),80
"CANVAS, PIGMENT, GILT",80
PIGMENT,79
"BAMBOO, CORD",79
"WOOD, PIGMENT, STRING",79
"CANE, WOOD, PLANT FIBER, RESIN",79
"WOOD, HIDE, PIGMENT",79
"CLAY, PAINT",79
"CLOTH (WOOL, COTTON)",78
"PLANT FIBER, WOOD, CORD",78
"CANE, YARN",78
"HIDE, PIGMENT, METAL, BAMBOO, THREAD",77
"GOURD, CORD",76
"WOOD, PLANT FIBER, CORD",76
"WOOD, PIGMENT, HIDE",76
CORD (PLANT FIBER),75
"PLANT FIBER, TWIGS, PIGMENT",75
METAL (ALUMINUM),75
"METAL (IRON), PLANT FIBER, COATING",75
COCONUT SHELL,74
"HIDE, THREAD",74
"HIDE, PIGMENT, SINEW",74
"GOURD, COATING",74
GREENSTONE (JADEITE),74
YARN,73
"HIDE, BEADS, THREAD",73
"PHOTO, PAPER, PIGMENT",73
"CANE, WOOD, STRING, FEATHER",73
"WOOD, HIDE, SINEW",72
WOOD (BALSA),70
PLANT FIBER (PALM),70
METAL (STEEL),69
