text,count
<empty>,224804
"POSTCLASSIC, circa A.D. 1000 - 1521",5139
"FORMATIVE, circa B.C. 2000 - A.D. 1",4261
"CLASSIC/POSTCLASSIC?, circa A.D. 100 - 1521",2379
"CLASSIC, circa A.D. 1 - 700",2324
"CLASSIC, circa A.D. 1 - 1000",2043
"LATE CLASSIC/POSTCLASSIC, circa A.D. 900 - 1521",1003
"POSTCLASSIC?, circa A.D. 1200 - 1520 (NAHUATL CIVILIZATION)",390
"POSTCLASSIC?, circa A.D. 1300 - 1450?",370
"CLASSIC, circa A.D. 250 - 750 (TEOTIHUACAN)",361
POSTCLASSIC,295
"POSTCLASSIC, circa A.D. 1200 - 1520 (AZTEC)",248
"EARLY POSTCLASSIC?, circa A.D. 950 - 1150? (MAZAPAN)",232
"EARLY POSTCLASSIC?, circa A.D. 950 - 1150? (MAZAPAN TYPE)",167
"LATE HORIZON, 1450-1532",162
1000-1450AD,148
1450-1532 AD,145
"POSTCLASSIC, circa A.D. 1300 - 1500 (AZTEC)",137
CLASSIC (100/200-1000/1100 CE),130
"POSTCLASSIC, circa A.D. 1200 - 1520 (AZTEC TYPE)",118
800-100 BC,96
"POSTCLASSIC?, circa A.D. 1000 - 1520",92
POSTCLASSIC (1000/1100-1521 CE),86
"EARLY POSTCLASSIC?, circa A.D. 950 - 1150? (MAZAPAN STYLE)",83
800-100 B.C.,76
600-1000AD,65
"FORMATIVE, circa B.C. 2000 - A.D. 200",57
"CLASSIC, circa A.D. 400 - 750 (PERIOD IV TYPE)",57
"MEZCALA STYLE, CLASSIC, circa A.D. 200 - 900",52
"FORMATIVE, circa B.C. 1500 - A.D. 1 (OLMEC, EARLY-MIDDLE FORMATIVE B.C.1500-400)",50
VIEJO (A.D. 700 +/- 50 TO 1050),50
"CLASSIC, circa A.D. 250 - 900 (MAYA)",49
COLONIAL (V),48
"PAVON FORMATIVE, circa B.C. 2000 - 200",46
"FORMATIVE/CLASSIC, circa B.C. 500 - A.D. 300",44
PROBABLY LIP 1000-1450 A.D.,41
"EARLY POSTCLASSIC?, circa A.D. 950 - 1150? (MAZAPAN TRADE WARE)",41
"LATE CLASSIC, circa A.D. 600 - 900 (MAYA)",39
"CLASSIC, circa A.D. 150 - 750 (TEOTIHUACAN STYLE)",39
100BC-700AD,38
"POSTCLASSIC, circa A.D. 1000 - 1520",38
PROTOHISTORIC?,38
LATE HORIZON 1450-1532,36
LIP,35
?,34
"LATE FORMATIVE, circa 400 B.C. - A.D. 200 (COLIMA STYLE)",34
100 B.C.-700 A.D.,33
100 BC-700 AD,31
