text,count
<empty>,226437
HEAD,2329
HUMAN HEAD,958
HUMAN,589
BODY,424
ANIMAL HEAD,376
FIGURE,342
BIRD,333
FIGURINE,310
ANIMAL,304
HUMAN FIGURE,278
FACE,174
HUMAN FIGURE PARTS,173
FIGURINE HEAD,146
MONKEY,117
HUMAN FACE,104
HEAD & EYES,102
TORSO,97
MONKEY HEAD,89
BIRD FIGURE,82
BOWL,77
HUMAN FEMALE,74
DOG,68
UNIDENTIFIED,68
FROG,67
HEADDRESS,67
BIRD HEAD,58
EAGLE,55
GEOMETRIC DESIGN,54
LEG,54
GEOMETRIC MOTIFS,53
IDOL,53
ANIMAL FIGURE,47
SEATED FIGURE,47
HUMAN HEAD WITHOUT HEADDRESS,47
MAN,46
BIRD MOTIF,46
SPIDER,45
HEADS,45
ANIMAL HEADS,44
RIM PIECE,44
"HEAD, TORSO",43
TEMPLE,42
RAVEN,40
FLOWER,40
DIAMOND MOTIF,40
PENDANT,40
AXE,40
FOOT,39
HUMAN HEAD WITH HEADDRESS,39
TIGER,36
LEGS,36
FEMALE,35
SEATED HUMAN FIGURE,35
STYLIZED FELINE FACES ON TOP PORTION OF SEGMENT FOLLOWED BY STRIPES OF COLORS,35
BEAVER,34
GAUTAMA BUDDHA,34
"SYMBOLS, WRITING",34
JAR,33
DOG HEAD,32
HEAD FIGURINE,32
FISH,31
ANIMAL FORM,31
"BODY, SKIRT",31
BEAR,30
MASK,30
HUMAN FIGURES,29
SEATED FEMALE,29
"TRADITIONAL ARCHITECTURE, CEREMONIES, VILLAGE LIFE",29
CAIRARA MONKEY,28
VESSEL,28
CELT,28
DISH RIM FRAGMENT,28
GEOMETRIC,27
WHALE,27
"HUMAN, IDOL",27
SEAL,26
OWL,25
"HEADS, EYES WITH DOUBLE GROOVES",24
OLD GOD,24
BIRD DESIGN,23
HAND,23
"BODY, PLAIN SKIRT",23
VAJRAPANI,22
AMITAYUS,22
MAHAKALA,22
TLALOC,22
"HEAD, XOCHIQUETZAL?",22
MALE,21
WOLF,21
NONE,21
CROUCHING FIGURE,21
CHILD,21
TURTLE,20
WOMAN,20
AVALOKITESVARA,20
STRIPES,20
STANDING FIGURE,20
MULTI-COLORED VARIED GEOMETRIC PATTERNS,20
DEATH'S HEAD,20
BIRDS,19
MANJUSRI,19
GEOMETRIC MOTIF,19
SEATED FIGURINE,19
