text,count
<empty>,194545
POTTERY,7465
CARVED,4838
INCISED,2310
PLAITED,1703
PAINTED,1268
WOVEN,1008
EMBROIDERY,556
"POTTERY, WHITEWARE",509
PERFORATED,494
ENGRAVED,489
BRAIDED,481
"CARVED, PAINTED",455
"POTTERY, PAINTED",438
SCULPTED,437
TEOTIHUACAN II,387
"POTTERY, TERRA COTTA",337
EMBROIDERED,330
PRINTED,287
BEADWORK EMBROIDERY,278
"POTTERY, INCISED",253
"POTTERY, REDWARE",247
MODELLED,245
TAPESTRY WEAVE,235
TEOTIHUACAN V?,226
TEOTIHUACAN V,225
"CARVED, INCISED",222
PLAIN WEAVE,216
WATERCOLOR,208
POLYCHROME,177
BEADED,175
WORKED,165
CHOLULA-TYPE,161
NOTCHED,146
MOLD-MADE,145
WARP STRIPED,134
TERRA COTTA,131
SILKSCREEN PRINT,130
CHIPPED,120
"POTTERY, CHALCO POLYCHROME",120
NETTED,115
"POTTERY, BLACKWARE",115
KNIT,114
OPENWORK,113
TWILL PLAITED,111
BEADWORK,110
COILED,108
KNOTTING AND PLYING,108
GROOVED,101
"POTTERY, TYPE C",99
"POTTERY, BLACKWARE, INCISED",98
KNITTED,97
"INCISED, CARVED",96
PRINT,94
"INCISED, PLAITED",93
FLAKED,92
BARBED,90
"POTTERY, TANCOL COMPLEX",89
"POTTERY, GLAZED",84
BASKET WORK,83
KNOTLESS NETTING,81
"POTTERY, NORMAL WHITEWARE",80
"POTTERY, POLYCHROME",79
"POTTERY, MAZAPAN TYPE",79
APPLIQUÉ,78
"POTTERY, EL DORADO INCISED WARE",78
"POTTERY, TEOTIHUACAN STYLE",77
BATIK,76
PAINTING,75
IKAT,75
COLORED PHOTOGRAPHIC PRINT,72
"POTTERY, INCISED, POLYCHROME",71
"CARVED, PLAITED",69
"POTTERY, REDWARE, HOLLOW",69
DECORATED,68
WRAPPING,68
DARK WARE,67
SLIT TAPESTRY,66
TWISTED,64
TWINED,64
BROCADE,63
BLACK ON ORANGE,63
TWILL WEAVE,62
GLAZED,61
WRAPPED FEATHERING,61
"DRAWING, COLOR WASH, SKETCHED",61
"PLAITED, INCISED",60
PERUVIAN CEMENTED FEATHERING,59
DOUBLE CLOTH,59
PINK WARE,57
WRAPPED,56
"PRINT WITH COLOR ADDED, FAN-FOLD",56
"DRAWING, COLOR WASH",55
"POTTERY, MOLD MADE",55
"POTTERY, YELLOW WARE, PINK WARE",53
"POTTERY, MODELLED",53
TWILLED,52
APPLIQUE,51
POLISHED,51
"SCULPTED, INCISED",51
LIGHT WARE,51
RED WARE,51
"POTTERY, ROUGH WARE",51
"POTTERY, UNFIRED",50
REDWARE,49
RELIEF,48
SUPPLEMENTARY WEFT PATTERNS,48
CHOLULA-WARE,48
"POTTERY, TEOTIHUACAN",48
"POTTERY, REDDISH BROWN WARE",48
"CARVED, PERFORATED",47
INLAY,47
"ENGRAVED, CARVED",47
"POTTERY, UNFIRED CLAY, PAINTED.",47
"POTTERY, GRAY WARE",47
"CARVED, INLAY",46
"CRADLE:RIBBED TAPESTRY, VERTICAL WRAPPING OF HORIZONTAL ELEMENTS, BRAIDING, FRINGE",46
WHITE SLIP,46
"POTTERY, ORANGE WARE",46
"APPLIQUE, BEADWORK EMBROIDERY",45
WARP IKAT,45
"POTTERY, BROWN WARE",45
MACHINE STITCHED,44
SPINNING,43
"POTTERY, STAMPED",43
"POTTERY, PANUCO TYPE B",43
"DRAWING, MONOCHROME",42
"WRAPPING, PLYING",42
DOUBLE-FACED COMPLIMENTARY WARP PATTERN,42
"POTTERY, RED ON YELLOW",42
"POTTERY, PANUCO FINE PASTE",42
"INCISED, PAINTED",41
RELIEF CARVING,41
BEADWORK COUCHED EMBROIDERY,41
"MODELLED, GLAZED",41
"WOVEN, PAINTED",40
MODELED,40
"POTTERY, CERRO ISABEL ENGRAVED WARE",40
BASKETRY,39
PYROGRAPHIC DECORATION,39
"CARVED, RELIEF",39
BEAD WORK EMBROIDERY,39
STAMPED,38
CAST,38
"POTTERY, TYPE CIB",37
"POTTERY, ZAQUIL RED",37
"POTTERY, HEAVY PLAIN WARE",37
INLAID,36
"INCISED, WRAPPING",36
WARP STRIPES,36
PLAIN WARE,36
"PLAIN WEAVE WITH SUPPLEMENTARY OR COMPLEMENTARY PATTERNING, OVERCASTING STITCHES",35
"SCULPTED, DARK PIGMENT, PAINTED",35
"POTTERY, GRAY WARE, INCISED",35
"POTTERY, BLACK AND RED ON BUFF, INCISED",35
WEFT FACED TAPESTRY WEAVE,35
AZTEC MATERIAL,34
TEOTIHUCAN V,34
"POTTERY, RED",34
"POTTERY, EL PRISCO BLACK",34
MATTED,33
"PLAIN WEAVE, STRIPED",33
BLACKWARE,33
VARIOUS WARP STRIPES,33
"POTTERY, ZAQUIL BLACK, INCISED",33
CARVING,32
HAND STITCHED,32
"CARVED, OPENWORK",31
DYED,31
NEEDLE LACE,31
PYROGRAPHIC DECORATION.,31
UNFIRED CLAY,31
SLIP,31
PLAINWEAVE,31
BROWN SLIP,31
"POTTERY, TYPE CII",31
"POTTERY, SLIPPED",31
"POTTERY, RED ON BUFF",31
"CARVED, BRAIDED",30
ETCHED,30
"PLAITED, BRAIDED",30
PAINTED DECORATION - APPARENTLY ALL AVAILABLE DESIGNS,30
"POTTERY, PLAINWARE",30
"POTTERY, WHITE FILLETED",30
WEFT FACED (SLIT) TAPESTRY WEAVE (1X1),30
"CARVED, INLAID",29
BEAD WEAVING,29
"POTTERY, PAINTED, INCISED",29
INCISED DECORATION,28
"PAINTED, PLAITED",28
BEADWEAVING,28
LITHOGRAPH?,28
"ENAMELED, STENCILED",28
"STRIP WEAVE, WARP STRIPED",28
"PLAIN WEAVE, STEM STITCH AND CUT-PILE EMBROIDERY",28
"SCULPTED, STAMPED",28
REDDISH WARE,28
BLACK WARE,28
"POTTERY, RED WARE",28
MOULD MADE,28
"TEO, ARCHAIC TYPES",28
REVERSE APPLIQUÉ WORK,28
SLIPPED,27
DOUBLE FACE WARP PATTERN,27
"PLAIN WEAVE, QUILTED",27
NET,26
"INCISED, WRAPPING, PAINTED",26
INCISED ZIGZAG DECORATION,26
"WARP STRIPED, (SOME STRIPES BARRED)",26
"VARIOUS PLAIDS, AND IKAT",26
"WARP STRIPES, 1 SAMPLE WARP JOINING",26
"POTTERY, PERFORATED",26
"MODELLED, MOLDED",26
"SOME PLAIN WEAVE, SOME CANVAS-TYPE WEAVE WITH CROSS-STITCH EMBROIDERY",26
"PAINTED, CARVED",25
"INCISED, PERFORATED",25
RED-ON-YELLOW,25
"POTTERY, WORKED",25
"POTTERY, GREY-REDWARE",25
"POTTERY, NORMAL WHITEWARE, INCISED",25
"POTTERY, NAVALATO POLYCHROME",25
"PLAIN WEAVE, WARP PATTERNED WITH POSITIVE AND NEGATIVE FACES",25
"PLAINWEAVE, BROCADE",25
PYROGRAVURE,24
CROCHETED,24
HAND-MADE,24
"COTTON / (1X1), PAINTED",24
SPIRAL BRIDGE FEATHERING,24
MOLD MADE,24
"POTTERY, HAND-MADE",24
"POTTERY, AGUARUTO INCISED WARE",24
WARP PATTERN,23
"EMBROIDERY, APPLIQUÉ",23
TWILLED PLAITED,23
WHITEWARE,23
"POTTERY, TYPE B",23
"POTTERY, MOULD MADE",23
"POTTERY, AZTEC BLACK ON ORANGE III D",23
"POTTERY, CERRO ISABLE INGRAVED",23
"POTTERY, FINE PASTE, RED SLIP",23
DOUBLE CLOTH WITH POSITIVE AND NEGATIVE FACES (1X1),23
"PLAITED, NOTCHED, INCISED",22
DRILLED,22
KNOTTED NETTING,22
BRAIDING,22
"PLAIN WEAVE, CUT-PILE AND STEM STITCH EMBROIDERY",22
"PAINTED, TERRA COTTA",22
UNSLIPPED,22
"POTTERY, PROGRESSO WHITE",22
"POTTERY, BURNT ORANGE, PAINTED, INCISED",22
TIE-DYED,21
SEWN,21
FORGED,21
"POTTERY, SCULPTED",21
"POTTERY, AZTEC BLACK ON ORANGE II B",21
"POTTERY, AZTEC BLACK ON ORANGE IV",21
